Pipeline,Ground Truth Answer,Generated Answer,BLEU,SacreBLEU,ROUGE-1,ROUGE-2,ROUGE-L,METEOR,Exact Match,BERT Precision,BERT Recall,BERT F1
LangChain MultiVector Retriever,استنبول,3 اپریل کو اولمپک مشعل استنبول میں تھی,2.85996171617138,5.522397783539471,0.2222222222222222,0.0,0.2222222222222222,0.2941176470588236,0,0.7862645387649536,0.8679854273796082,0.8251064419746399
LangChain MultiVector Retriever,سینسرشپ,چینی حکومت نے بائیکاٹ کی صورتحال کو کم کرنے کے لئے سنسرشپ کا استعمال کیا تھا انہوں نے کارفور کے بائیکاٹ سے متعلق مقبول انٹرنیٹ فورم سوہو ڈاٹ کام پر پوسٹ کردہ تمام تبصرے حذف کر دیے,0.0,0.0,0.0,0.0,0.0,0.0,0,0.712012529373169,0.8398758769035339,0.7706766724586487
LangChain MultiVector Retriever,الیکسینڈروس نکولائڈس,پہلے مشعل بردار کا نام ہرمیون لین لی تھا,0.0,0.0,0.0,0.0,0.0,0.0,0,0.8026266694068909,0.8051520586013794,0.8038873672485352
LangChain MultiVector Retriever,تائیوان,کوئی حکومت مشعل کے راستے کی وضاحت کرنے کے لئے استعمال ہونے والی زبان پر متفق نتھے تھی متن میں ایسی کوئی معلومات فراہم نتھے کی گئی,0.0,0.0,0.0,0.0,0.0,0.0,0,0.7261003851890564,0.7812618017196655,0.7526718378067017
LangChain MultiVector Retriever,20,قازقستان میں روٹ کے لئے فاصلہ 20 کلومیٹر تھا,2.5732850252734187,4.767707020457095,0.19999999999999998,0.0,0.19999999999999998,0.27777777777777785,0,0.7018494606018066,0.8205882906913757,0.7565885186195374
LangChain MultiVector Retriever,کازاخستان,مشعل پہلی بار قازقستان میں پہنچی,0.0,0.0,0.0,0.0,0.0,0.0,0,0.7896428108215332,0.8191112279891968,0.804107129573822
LangChain MultiVector Retriever,آئی او سی ممبران,متن میں اس بات کا ذکر نتھے تھا کہ کس نے کہا کہ مشعل ریلے ختم کیا تھا جائے,0.0,0.0,0.0,0.0,0.0,0.0,0,0.7363330125808716,0.7692751288414001,0.7524437308311462
LangChain MultiVector Retriever,21,طیارے نے 21 ممالک اور خطوں کا دورہ کیا تھا,2.1598265052211616,4.196114906296549,0.16666666666666669,0.0,0.16666666666666669,0.25000000000000006,0,0.6844085454940796,0.8152914047241211,0.7441387176513672
LangChain MultiVector Retriever,ایربس اے 330,ٹارچ ٹیم نے مینڈارن ایئر لائنز کی براہ راست چارٹرڈ پرواز میں سفر کیا تھا,0.0,0.0,0.0,0.0,0.0,0.0,0,0.7633019089698792,0.8396559953689575,0.7996604442596436
LangChain MultiVector Retriever,فرانسیسی جھنڈے,کچھ مظاہرین نے فرانسیسی جھنڈے جلا دیے,8.1939171811711,13.134549472120788,0.4444444444444445,0.2857142857142857,0.4444444444444445,0.75,0,0.8554952144622803,0.9412096738815308,0.8963078856468201
LangChain MultiVector Retriever,مارچ 2008,متن میں اس سوال کا جواب موجود نتھے تھا,0.0,0.0,0.0,0.0,0.0,0.0,0,0.7381607294082642,0.768378496170044,0.752966582775116
LangChain MultiVector Retriever,الماٹی,2 اپریل کو مشعل نے الماتی میں میڈیو اسٹیڈیم کا دورہ کیا تھا,0.0,0.0,0.0,0.0,0.0,0.0,0,0.7446251511573792,0.7913861274719238,0.7672939300537109
LangChain MultiVector Retriever,چھ,مشعل نے چھ براعظموں کا دورہ کیا تھا,2.5732850252734187,5.522397783539471,0.19999999999999998,0.0,0.19999999999999998,0.27777777777777785,0,0.7449696660041809,0.8275744915008545,0.7841024994850159
LangChain MultiVector Retriever,کنمنگ,مظاہرین کو کنمنگ میں Carrefour کی دکان میں داخل ہونے سے روک دیا گیا تھا,1.6591439325163957,2.627961710408444,0.125,0.0,0.125,0.20833333333333337,0,0.7239798307418823,0.8745846748352051,0.7921878695487976
LangChain MultiVector Retriever,پیپلز ڈیلی,"چینی لوگوں سے مطالبہ ""پیپلز ڈیلی"" میں کیا تھا گیا تھا کہ وہ احتجاج اور مظاہروں کی وجہ سے منظم اور قانونی ہوں",2.332216510868361,3.012378646187734,0.14285714285714288,0.07692307692307693,0.14285714285714288,0.4261363636363637,0,0.7352140545845032,0.836578369140625,0.7826278209686279
LangChain MultiVector Retriever,اولمپیا یونان,اولمپکس کی ابتدا یونان کے قدیم اولمپک کھیلوں کے مقام پر ہوئی,2.0044994979069073,3.3864985683445354,0.14285714285714285,0.0,0.14285714285714285,0.16666666666666669,0,0.782046914100647,0.8616044521331787,0.8199003338813782
LangChain MultiVector Retriever,چینی سیکیورٹی عہدیداروں,متن میں حفاظت کے لیے راستے میں مشعل بجھانے کا ذکر نتھے تھا,0.0,0.0,0.0,0.0,0.0,0.0,0,0.7876474857330322,0.8140310049057007,0.8006219863891602
LangChain MultiVector Retriever,ہانگ کانگ اور مکاؤ,جمہوریہ چین کا خیال تھا کہ غلط فیصلہ تائیوان کو ہانگ کانگ اور مکاؤ کے ساتھ ایک ہی سطح پر رکھ سکتا تھا,10.308675254291908,10.308675254291908,0.29629629629629634,0.24000000000000002,0.29629629629629634,0.6726694915254238,0,0.8114368915557861,0.8997538089752197,0.8533162474632263
LangChain MultiVector Retriever,مقابلہ مظاہرین,جاپان میں مظاہرین کو پولیس نے دبایا,3.235934848975789,6.567274736060395,0.22222222222222224,0.0,0.22222222222222224,0.2,0,0.7434667944908142,0.7833700180053711,0.7628969550132751
LangChain MultiVector Retriever,موثر طور پر کوئی نتھے,پیانگ یانگ مشعل کے راستے پر کئی سو افراد نے احتجاج میں حصہ لیا,1.7585421894408981,2.8398387225677895,0.10526315789473682,0.0,0.10526315789473682,0.08474576271186442,0,0.7869117259979248,0.8130441904067993,0.7997645139694214
LangChain MultiVector Retriever,مقابلہ مظاہرین,پولیس حکام نے مظاہرین کے خلاف بڑے پیمانے پر جمع کیا تھا,1.8724372764461876,3.3864985683445354,0.13333333333333336,0.0,0.13333333333333336,0.16129032258064518,0,0.7508808970451355,0.8033685684204102,0.7762384414672852
LangChain MultiVector Retriever,ایل وی ایم ایچ گروپ,متن میں Carrefour کے سب سے بڑے حصص دار کا ذکر نتھے تھا,0.0,0.0,0.0,0.0,0.0,0.0,0,0.7614206075668335,0.7959733009338379,0.7783136367797852
LangChain MultiVector Retriever,37,متن میں ہوا کی رفتار کے بارے میں کوئی معلومات فراہم نتھے کی گئی تھا اس لیے اس سوال کا جواب متن کی بنیاد پر نتھے دیا جا سکتا,0.0,0.0,0.0,0.0,0.0,0.0,0,0.6767064332962036,0.7363073825836182,0.7052499651908875
LangChain MultiVector Retriever,الومینیم,متن میں مشعل کی دھات کا ذکر نتھے کیا تھا گیا,0.0,0.0,0.0,0.0,0.0,0.0,0,0.7578227519989014,0.8049536347389221,0.7806774973869324
LangChain MultiVector Retriever,سرخ اور پیلے,متن میں ہوائی جہاز کے رنگ کے بارے میں کوئی معلومات فراہم نتھے کی گئی تھے,0.0,0.0,0.0,0.0,0.0,0.0,0,0.7690006494522095,0.8144375085830688,0.7910671234130859
LangChain MultiVector Retriever,ایک اگنیشن کلید,"اولمپک مشعل کو روشن کرنے کے لیے ایلومینیم سے بنے مشعل کا استعمال کیا تھا جاتا تھا جو روایتی چینی ڈیزائن پر مبنی تھا اور ""لکی کلاوڈ"" کے نام سے جانا جاتا تھا",0.0,0.0,0.0,0.0,0.0,0.0,0,0.7456704378128052,0.8007076978683472,0.772209644317627
LangChain MultiVector Retriever,اولمپیا یونان,اصل اولمپک مقابلوں کا مقام قدیم اولمپک کھیلوں کے مقام پر اولمپیا یونان میں تھا,3.8680526975421547,5.255923420816887,0.23529411764705882,0.13333333333333333,0.23529411764705882,0.5681818181818182,0,0.7728759050369263,0.8376817107200623,0.803974986076355
LangChain MultiVector Retriever,130 دن,طیارے نے 130 دن سفر کیا تھا,7.122722710132624,13.134549472120788,0.4,0.25,0.4,0.7211538461538463,0,0.7551350593566895,0.8231146335601807,0.7876608371734619
LangChain MultiVector Retriever,تائی پے,ہو چی منہ سٹی اور ہانگ کانگ کے درمیان تائی پے میں ایک اسٹاپ شامل تھا,3.6422694300114857,4.891187874480726,0.2222222222222222,0.125,0.2222222222222222,0.5514705882352943,0,0.7994426488876343,0.8898995518684387,0.8422492742538452
LangChain MultiVector Retriever,سرخ اور پیلے,متن میں چارٹرڈ طیارے کے رنگ کے بارے میں کوئی معلومات فراہم نتھے کی گئی تھے,0.0,0.0,0.0,0.0,0.0,0.0,0,0.7703746557235718,0.8166454434394836,0.792835533618927
LangChain MultiVector Retriever,کیرفور,"کمپنی ""کیریفور"" کا بائیکاٹ کرنے کے لیے کارروائی کی گئی",0.0,0.0,0.0,0.0,0.0,0.0,0,0.7631540298461914,0.8692643642425537,0.8127604722976685
LangChain MultiVector Retriever,نیپال,پیرس میں پولیس کو مظاہرین کے ساتھ پرتشدد مسائل کا سامنا کرنا پڑا,0.0,0.0,0.0,0.0,0.0,0.0,0,0.703876256942749,0.7799409031867981,0.7399590015411377
